"","module_category","component_category","year.month.repair.","TotalCount","RepairCount"
"149","M1","P06","2009/6",9,9
"150","M1","P06","2009/7",7,7
"151","M1","P06","2009/8",5,5
"152","M1","P06","2009/9",4,4
"153","M1","P09","2006/10",2,3
"154","M1","P09","2006/11",3,4
"155","M1","P09","2006/12",9,10
"156","M1","P09","2006/6",1,1
"157","M1","P09","2006/7",1,1
"158","M1","P09","2006/8",1,1
"159","M1","P09","2006/9",1,1
"160","M1","P09","2007/1",6,6
"161","M1","P09","2007/10",13,14
"162","M1","P09","2007/11",14,18
"163","M1","P09","2007/12",6,8
"164","M1","P09","2007/2",7,7
"165","M1","P09","2007/3",6,7
"166","M1","P09","2007/4",6,8
"167","M1","P09","2007/5",7,9
"168","M1","P09","2007/6",5,6
"169","M1","P09","2007/7",13,15
"170","M1","P09","2007/8",5,5
"171","M1","P09","2007/9",11,12
"172","M1","P09","2008/1",9,10
"173","M1","P09","2008/10",9,10
"174","M1","P09","2008/11",12,15
"175","M1","P09","2008/12",5,7
"176","M1","P09","2008/2",18,24
"177","M1","P09","2008/3",20,22
"178","M1","P09","2008/4",12,17
"179","M1","P09","2008/5",18,21
"180","M1","P09","2008/6",15,18
"181","M1","P09","2008/7",16,20
"182","M1","P09","2008/8",4,4
"183","M1","P09","2008/9",17,20
"184","M1","P09","2009/1",6,7
"185","M1","P09","2009/10",3,3
"186","M1","P09","2009/2",2,2
"187","M1","P09","2009/3",4,6
"188","M1","P09","2009/4",3,4
"189","M1","P09","2009/6",1,1
"190","M1","P09","2009/7",2,3
"191","M1","P09","2009/8",3,4
"192","M1","P09","2009/9",1,1
"193","M1","P10","2006/12",1,1
"194","M1","P11","2006/10",4,4
"195","M1","P11","2006/11",14,14
"196","M1","P11","2006/12",13,14
"197","M1","P11","2006/5",1,1
"198","M1","P11","2006/6",1,1
"199","M1","P11","2006/7",5,5
"200","M1","P11","2006/8",7,7
"201","M1","P11","2006/9",5,5
"202","M1","P11","2007/1",11,11
"203","M1","P11","2007/10",14,14
"204","M1","P11","2007/11",14,14
"205","M1","P11","2007/12",8,8
"206","M1","P11","2007/2",16,18
"207","M1","P11","2007/3",16,16
"208","M1","P11","2007/4",15,15
"209","M1","P11","2007/5",7,7
"210","M1","P11","2007/6",8,8
"211","M1","P11","2007/7",11,12
"212","M1","P11","2007/8",14,14
"213","M1","P11","2007/9",14,14
"214","M1","P11","2008/1",10,10
"215","M1","P11","2008/10",10,10
"216","M1","P11","2008/11",7,7
"217","M1","P11","2008/12",1,1
"218","M1","P11","2008/2",14,15
"219","M1","P11","2008/3",16,16
"220","M1","P11","2008/4",12,12
"221","M1","P11","2008/5",12,12
"222","M1","P11","2008/6",8,8
"223","M1","P11","2008/7",5,5
"224","M1","P11","2008/8",3,3
"225","M1","P11","2008/9",7,7
"226","M1","P11","2009/1",8,8
"227","M1","P11","2009/10",1,1
"228","M1","P11","2009/2",4,4
"229","M1","P11","2009/3",4,4
"230","M1","P11","2009/4",2,2
"231","M1","P11","2009/5",1,1
"232","M1","P11","2009/7",1,1
"233","M1","P11","2009/8",2,2
"234","M1","P11","2009/9",1,1
"235","M1","P12","2006/10",54,58
"236","M1","P12","2006/11",62,69
"237","M1","P12","2006/12",72,80
"238","M1","P12","2006/4",3,3
"239","M1","P12","2006/5",5,5
"240","M1","P12","2006/6",8,9
"241","M1","P12","2006/7",20,21
"242","M1","P12","2006/8",20,25
"243","M1","P12","2006/9",21,21
"244","M1","P12","2007/1",82,95
"245","M1","P12","2007/10",119,142
"246","M1","P12","2007/11",88,111
"247","M1","P12","2007/12",77,102
"248","M1","P12","2007/2",87,97
"249","M1","P12","2007/3",124,145
"250","M1","P12","2007/4",113,129
"251","M1","P12","2007/5",98,119
"252","M1","P12","2007/6",95,119
"253","M1","P12","2007/7",108,141
"254","M1","P12","2007/8",89,109
"255","M1","P12","2007/9",132,171
"256","M1","P12","2008/1",118,154
"257","M1","P12","2008/10",78,111
"258","M1","P12","2008/11",58,69
"259","M1","P12","2008/12",45,57
"260","M1","P12","2008/2",112,145
"261","M1","P12","2008/3",112,144
"262","M1","P12","2008/4",67,92
"263","M1","P12","2008/5",68,83
"264","M1","P12","2008/6",80,92
"265","M1","P12","2008/7",88,107
"266","M1","P12","2008/8",82,97
"267","M1","P12","2008/9",100,126
"268","M1","P12","2009/1",30,35
"269","M1","P12","2009/10",3,3
"270","M1","P12","2009/11",2,2
"271","M1","P12","2009/12",1,1
"272","M1","P12","2009/2",17,20
"273","M1","P12","2009/3",15,25
"274","M1","P12","2009/4",12,18
"275","M1","P12","2009/5",4,6
"276","M1","P12","2009/6",6,7
"277","M1","P12","2009/7",5,5
"278","M1","P12","2009/8",7,8
"279","M1","P12","2009/9",7,10
"280","M1","P13","2006/10",12,15
"281","M1","P13","2006/11",12,14
"282","M1","P13","2006/12",19,23
"283","M1","P13","2006/4",1,1
"284","M1","P13","2006/5",1,1
"285","M1","P13","2006/6",2,2
"286","M1","P13","2006/7",6,8
"287","M1","P13","2006/8",4,4
"288","M1","P13","2006/9",6,7
"289","M1","P13","2007/1",14,14
"290","M1","P13","2007/10",17,18
"291","M1","P13","2007/11",20,20
"292","M1","P13","2007/12",20,20
"293","M1","P13","2007/2",13,13
"294","M1","P13","2007/3",13,14
"295","M1","P13","2007/4",25,27
"296","M1","P13","2007/5",15,15
"297","M1","P13","2007/6",12,12
"298","M1","P13","2007/7",20,20
"299","M1","P13","2007/8",11,12
"300","M1","P13","2007/9",17,17
"301","M1","P13","2008/1",11,11
"302","M1","P13","2008/10",15,15
"303","M1","P13","2008/11",10,10
"304","M1","P13","2008/12",6,6
"305","M1","P13","2008/2",12,12
"306","M1","P13","2008/3",21,21
"307","M1","P13","2008/4",15,15
"308","M1","P13","2008/5",7,7
"309","M1","P13","2008/6",14,14
"310","M1","P13","2008/7",4,4
"311","M1","P13","2008/8",11,11
"312","M1","P13","2008/9",17,17
"313","M1","P13","2009/1",7,7
"314","M1","P13","2009/2",4,4
"315","M1","P13","2009/3",2,2
"316","M1","P13","2009/4",1,1
"317","M1","P13","2009/5",1,1
"318","M1","P13","2009/6",1,1
"319","M1","P13","2009/7",1,1
"320","M1","P13","2009/9",2,2
"321","M1","P15","2006/10",32,32
"322","M1","P15","2006/11",41,41
"323","M1","P15","2006/12",41,41
"324","M1","P15","2006/4",1,1
"325","M1","P15","2006/5",10,10
"326","M1","P15","2006/6",4,4
"327","M1","P15","2006/7",12,12
"328","M1","P15","2006/8",20,20
"329","M1","P15","2006/9",22,23
"330","M1","P15","2007/1",29,29
"331","M1","P15","2007/10",32,32
"332","M1","P15","2007/11",33,33
"333","M1","P15","2007/12",41,41
"334","M1","P15","2007/2",38,41
"335","M1","P15","2007/3",31,32
"336","M1","P15","2007/4",43,43
"337","M1","P15","2007/5",34,34
"338","M1","P15","2007/6",44,45
"339","M1","P15","2007/7",43,44
"340","M1","P15","2007/8",41,41
"341","M1","P15","2007/9",48,49
"342","M1","P15","2008/1",29,29
"343","M1","P15","2008/10",24,24
"344","M1","P15","2008/11",13,14
"345","M1","P15","2008/12",16,16
"346","M1","P15","2008/2",40,46
"347","M1","P15","2008/3",37,37
"348","M1","P15","2008/4",27,27
"349","M1","P15","2008/5",30,30
"350","M1","P15","2008/6",38,38
"351","M1","P15","2008/7",24,24
"352","M1","P15","2008/8",24,24
"353","M1","P15","2008/9",28,28
"354","M1","P15","2009/1",7,7
"355","M1","P15","2009/10",1,1
"356","M1","P15","2009/11",3,3
"357","M1","P15","2009/2",6,6
"358","M1","P15","2009/3",3,3
"359","M1","P15","2009/5",8,8
"360","M1","P15","2009/6",1,4
"361","M1","P15","2009/7",2,2
"362","M1","P15","2009/8",1,1
"363","M1","P15","2009/9",3,3
"364","M1","P16","2006/10",39,39
"365","M1","P16","2006/11",24,24
"366","M1","P16","2006/12",37,37
"367","M1","P16","2006/4",2,2
"368","M1","P16","2006/5",3,3
"369","M1","P16","2006/6",7,7
"370","M1","P16","2006/7",13,13
"371","M1","P16","2006/8",17,17
"372","M1","P16","2006/9",20,21
"373","M1","P16","2007/1",46,46
"374","M1","P16","2007/10",59,60
"375","M1","P16","2007/11",80,80
"376","M1","P16","2007/12",41,41
"377","M1","P16","2007/2",56,56
"378","M1","P16","2007/3",56,56
"379","M1","P16","2007/4",74,74
"380","M1","P16","2007/5",38,38
"381","M1","P16","2007/6",49,49
"382","M1","P16","2007/7",44,44
"383","M1","P16","2007/8",66,66
"384","M1","P16","2007/9",54,54
"385","M1","P16","2008/1",62,62
"386","M1","P16","2008/10",45,45
"387","M1","P16","2008/11",29,29
"388","M1","P16","2008/12",20,21
"389","M1","P16","2008/2",54,55
"390","M1","P16","2008/3",75,75
"391","M1","P16","2008/4",48,48
"392","M1","P16","2008/5",33,33
"393","M1","P16","2008/6",62,62
"394","M1","P16","2008/7",57,57
"395","M1","P16","2008/8",51,51
"396","M1","P16","2008/9",48,48
"397","M1","P16","2009/1",24,25
"398","M1","P16","2009/10",3,3
"399","M1","P16","2009/11",4,4
"400","M1","P16","2009/12",5,5
"401","M1","P16","2009/2",12,12
"402","M1","P16","2009/3",16,16
"403","M1","P16","2009/4",9,9
"404","M1","P16","2009/5",10,10
"405","M1","P16","2009/6",7,7
"406","M1","P16","2009/7",2,2
"407","M1","P16","2009/8",12,12
"408","M1","P16","2009/9",7,7
"409","M1","P17","2006/10",4,5
"410","M1","P17","2006/11",5,7
"411","M1","P17","2006/12",8,10
"412","M1","P17","2006/6",1,1
"413","M1","P17","2006/7",2,2
"414","M1","P17","2006/8",1,1
"415","M1","P17","2006/9",3,3
"416","M1","P17","2007/1",8,10
"417","M1","P17","2007/10",7,7
"418","M1","P17","2007/11",6,7
"419","M1","P17","2007/12",5,7
"420","M1","P17","2007/2",6,6
"421","M1","P17","2007/3",12,14
"422","M1","P17","2007/4",10,12
"423","M1","P17","2007/5",10,14
"424","M1","P17","2007/6",8,11
"425","M1","P17","2007/7",8,15
"426","M1","P17","2007/8",9,13
"427","M1","P17","2007/9",10,12
"428","M1","P17","2008/1",4,5
"429","M1","P17","2008/10",2,2
"430","M1","P17","2008/11",3,3
"431","M1","P17","2008/12",2,2
"432","M1","P17","2008/2",5,6
"433","M1","P17","2008/3",9,14
"434","M1","P17","2008/4",8,12
"435","M1","P17","2008/5",10,12
"436","M1","P17","2008/6",6,7
"437","M1","P17","2008/7",4,5
"438","M1","P17","2008/8",4,6
"439","M1","P17","2008/9",1,1
"440","M1","P17","2009/1",3,4
"441","M1","P17","2009/11",2,2
"442","M1","P17","2009/2",4,5
"443","M1","P17","2009/4",3,4
"444","M1","P17","2009/5",1,1
"445","M1","P17","2009/9",3,4
"446","M1","P19","2006/10",8,8
"447","M1","P19","2006/11",4,4
"448","M1","P19","2006/12",8,8
"449","M1","P19","2006/6",1,1
"450","M1","P19","2006/7",1,1
"451","M1","P19","2006/8",2,2
"452","M1","P19","2006/9",1,1
"453","M1","P19","2007/1",4,5
"454","M1","P19","2007/10",5,5
"455","M1","P19","2007/11",4,4
"456","M1","P19","2007/12",2,2
"457","M1","P19","2007/2",6,7
"458","M1","P19","2007/3",4,4
"459","M1","P19","2007/4",3,3
"460","M1","P19","2007/5",6,6
"461","M1","P19","2007/6",3,3
"462","M1","P19","2007/7",6,6
"463","M1","P19","2007/8",3,3
"464","M1","P19","2007/9",4,5
"465","M1","P19","2008/1",4,4
"466","M1","P19","2008/10",2,2
"467","M1","P19","2008/11",1,1
"468","M1","P19","2008/12",1,1
"469","M1","P19","2008/2",2,2
"470","M1","P19","2008/3",8,8
"471","M1","P19","2008/4",3,3
"472","M1","P19","2008/5",3,3
"473","M1","P19","2008/6",2,2
"474","M1","P19","2008/8",4,4
"475","M1","P19","2008/9",5,5
"476","M1","P19","2009/2",2,2
"477","M1","P19","2009/9",1,1
"478","M1","P20","2006/10",129,134
"479","M1","P20","2006/11",148,148
"480","M1","P20","2006/12",186,189
"481","M1","P20","2006/4",5,5
"482","M1","P20","2006/5",13,14
"483","M1","P20","2006/6",31,31
"484","M1","P20","2006/7",55,55
"485","M1","P20","2006/8",56,57
"486","M1","P20","2006/9",88,89
"487","M1","P20","2007/1",209,210
"488","M1","P20","2007/10",180,180
"489","M1","P20","2007/11",222,225
"490","M1","P20","2007/12",170,170
"491","M1","P20","2007/2",176,179
"492","M1","P20","2007/3",221,221
"493","M1","P20","2007/4",210,210
"494","M1","P20","2007/5",187,188
"495","M1","P20","2007/6",199,201
"496","M1","P20","2007/7",214,214
"497","M1","P20","2007/8",173,174
"498","M1","P20","2007/9",214,216
"499","M1","P20","2008/1",171,171
"500","M1","P20","2008/10",77,77
"501","M1","P20","2008/11",61,63
"502","M1","P20","2008/12",38,38
"503","M1","P20","2008/2",157,158
"504","M1","P20","2008/3",171,171
"505","M1","P20","2008/4",151,151
"506","M1","P20","2008/5",118,120
"507","M1","P20","2008/6",123,123
"508","M1","P20","2008/7",114,114
"509","M1","P20","2008/8",92,92
"510","M1","P20","2008/9",104,104
"511","M1","P20","2009/1",33,33
"512","M1","P20","2009/10",2,2
"513","M1","P20","2009/11",1,1
"514","M1","P20","2009/2",24,24
"515","M1","P20","2009/3",12,12
"516","M1","P20","2009/4",11,11
"517","M1","P20","2009/5",8,8
"518","M1","P20","2009/6",2,2
"519","M1","P20","2009/7",3,3
"520","M1","P20","2009/9",2,2
"521","M1","P21","2006/10",46,47
"522","M1","P21","2006/11",47,48
"523","M1","P21","2006/12",50,50
"524","M1","P21","2006/4",1,1
"525","M1","P21","2006/6",3,3
"526","M1","P21","2006/7",12,12
"527","M1","P21","2006/8",13,13
"528","M1","P21","2006/9",30,30
"529","M1","P21","2007/1",48,49
"530","M1","P21","2007/10",25,25
"531","M1","P21","2007/11",36,37
"532","M1","P21","2007/12",20,21
"533","M1","P21","2007/2",32,32
"534","M1","P21","2007/3",41,41
"535","M1","P21","2007/4",32,33
"536","M1","P21","2007/5",36,36
"537","M1","P21","2007/6",26,26
"538","M1","P21","2007/7",28,28
"539","M1","P21","2007/8",23,23
"540","M1","P21","2007/9",24,24
"541","M1","P21","2008/1",16,16
"542","M1","P21","2008/10",10,10
"543","M1","P21","2008/11",8,8
"544","M1","P21","2008/12",12,12
"545","M1","P21","2008/2",19,19
"546","M1","P21","2008/3",11,11
"547","M1","P21","2008/4",14,14
"548","M1","P21","2008/5",11,11
"549","M1","P21","2008/6",11,11
"550","M1","P21","2008/7",7,7
"551","M1","P21","2008/8",15,15
"552","M1","P21","2008/9",14,14
"553","M1","P21","2009/1",10,12
"554","M1","P21","2009/10",1,1
"555","M1","P21","2009/2",3,3
"556","M1","P21","2009/3",5,5
"557","M1","P21","2009/4",5,5
"558","M1","P21","2009/5",1,1
"559","M1","P21","2009/6",4,4
"560","M1","P21","2009/7",2,2
"561","M1","P21","2009/8",3,3
"562","M1","P21","2009/9",1,1
"563","M1","P22","2006/10",1,1
"564","M1","P22","2006/12",5,5
"565","M1","P22","2006/7",2,2
"566","M1","P22","2006/8",1,1
"567","M1","P22","2007/1",5,5
"568","M1","P22","2007/10",3,3
"569","M1","P22","2007/11",1,1
"570","M1","P22","2007/12",8,8
"571","M1","P22","2007/3",1,1
"572","M1","P22","2007/4",1,1
"573","M1","P22","2007/5",1,1
"574","M1","P22","2007/7",2,2
"575","M1","P22","2007/8",1,1
"576","M1","P22","2007/9",4,4
"577","M1","P22","2008/10",4,4
"578","M1","P22","2008/11",1,1
"579","M1","P22","2008/12",1,1
"580","M1","P22","2008/2",2,2
"581","M1","P22","2008/3",3,3
"582","M1","P22","2008/5",3,3
"583","M1","P22","2008/6",3,3
"584","M1","P22","2008/7",3,3
"585","M1","P22","2008/8",1,1
"586","M1","P22","2008/9",2,2
"587","M1","P22","2009/1",1,1
"588","M1","P22","2009/3",1,1
"589","M1","P22","2009/4",2,2
"590","M1","P24","2006/10",50,51
"591","M1","P24","2006/11",48,48
"592","M1","P24","2006/12",50,50
"593","M1","P24","2006/4",1,1
"594","M1","P24","2006/5",3,3
"595","M1","P24","2006/6",8,8
"596","M1","P24","2006/7",16,17
"597","M1","P24","2006/8",24,24
"598","M1","P24","2006/9",34,34
"599","M1","P24","2007/1",74,75
"600","M1","P24","2007/10",67,67
"601","M1","P24","2007/11",61,62
"602","M1","P24","2007/12",53,54
"603","M1","P24","2007/2",78,79
"604","M1","P24","2007/3",60,60
"605","M1","P24","2007/4",57,57
"606","M1","P24","2007/5",57,57
"607","M1","P24","2007/6",69,70
"608","M1","P24","2007/7",66,66
"609","M1","P24","2007/8",52,52
"610","M1","P24","2007/9",79,79
"611","M1","P24","2008/1",67,67
"612","M1","P24","2008/10",30,30
"613","M1","P24","2008/11",45,45
"614","M1","P24","2008/12",22,23
"615","M1","P24","2008/2",48,49
"616","M1","P24","2008/3",69,69
"617","M1","P24","2008/4",66,66
"618","M1","P24","2008/5",49,49
"619","M1","P24","2008/6",55,55
"620","M1","P24","2008/7",69,69
"621","M1","P24","2008/8",49,49
"622","M1","P24","2008/9",47,47
"623","M1","P24","2009/1",13,13
"624","M1","P24","2009/10",1,1
"625","M1","P24","2009/2",7,7
"626","M1","P24","2009/3",4,4
"627","M1","P24","2009/4",4,4
"628","M1","P24","2009/5",4,5
"629","M1","P24","2009/6",3,3
"630","M1","P24","2009/8",1,1
"631","M1","P25","2007/9",1,1
"632","M1","P26","2006/10",15,16
"633","M1","P26","2006/11",16,16
"634","M1","P26","2006/12",17,18
"635","M1","P26","2006/5",2,2
"636","M1","P26","2006/6",7,7
"637","M1","P26","2006/7",5,5
"638","M1","P26","2006/8",11,12
"639","M1","P26","2006/9",13,14
"640","M1","P26","2007/1",16,20
"641","M1","P26","2007/10",7,7
"642","M1","P26","2007/11",8,8
"643","M1","P26","2007/12",7,7
"644","M1","P26","2007/2",12,12
"645","M1","P26","2007/3",17,18
"646","M1","P26","2007/4",15,16
"647","M1","P26","2007/5",14,14
"648","M1","P26","2007/6",8,8
"649","M1","P26","2007/7",10,10
"650","M1","P26","2007/8",9,9
"651","M1","P26","2007/9",9,9
"652","M1","P26","2008/1",6,6
"653","M1","P26","2008/10",9,9
"654","M1","P26","2008/11",2,2
"655","M1","P26","2008/12",2,2
"656","M1","P26","2008/2",9,9
"657","M1","P26","2008/3",12,12
"658","M1","P26","2008/4",7,7
"659","M1","P26","2008/5",3,3
"660","M1","P26","2008/6",8,8
"661","M1","P26","2008/7",1,1
"662","M1","P26","2008/8",4,4
"663","M1","P26","2008/9",12,12
"664","M1","P26","2009/1",3,3
"665","M1","P26","2009/3",1,1
"666","M1","P26","2009/7",1,1
"667","M1","P26","2009/8",1,1
"668","M1","P26","2009/9",1,1
"669","M1","P27","2007/9",2,2
"670","M1","P28","2006/10",41,42
"671","M1","P28","2006/11",48,50
"672","M1","P28","2006/12",53,55
"673","M1","P28","2006/5",6,6
"674","M1","P28","2006/6",15,15
"675","M1","P28","2006/7",28,29
"676","M1","P28","2006/8",25,25
"677","M1","P28","2006/9",30,30
"678","M1","P28","2007/1",41,45
"679","M1","P28","2007/10",64,66
"680","M1","P28","2007/11",68,69
"681","M1","P28","2007/12",61,63
"682","M1","P28","2007/2",51,59
"683","M1","P28","2007/3",59,62
"684","M1","P28","2007/4",54,56
"685","M1","P28","2007/5",45,47
"686","M1","P28","2007/6",65,65
"687","M1","P28","2007/7",66,66
"688","M1","P28","2007/8",49,51
"689","M1","P28","2007/9",79,79
"690","M1","P28","2008/1",88,90
"691","M1","P28","2008/10",109,109
"692","M1","P28","2008/11",87,87
"693","M1","P28","2008/12",62,62
"694","M1","P28","2008/2",117,120
"695","M1","P28","2008/3",104,104
"696","M1","P28","2008/4",84,87
"697","M1","P28","2008/5",83,83
"698","M1","P28","2008/6",119,119
"699","M1","P28","2008/7",123,123
"700","M1","P28","2008/8",113,114
"701","M1","P28","2008/9",141,142
"702","M1","P28","2009/1",49,49
"703","M1","P28","2009/10",1,1
"704","M1","P28","2009/11",1,1
"705","M1","P28","2009/2",31,31
"706","M1","P28","2009/3",19,19
"707","M1","P28","2009/4",10,10
"708","M1","P28","2009/5",4,4
"709","M1","P28","2009/6",6,6
"710","M1","P28","2009/7",8,9
"711","M1","P28","2009/8",9,9
"712","M1","P28","2009/9",4,4
"713","M1","P30","2006/10",81,99
"714","M1","P30","2006/11",106,121
"715","M1","P30","2006/12",105,121
"716","M1","P30","2006/4",2,2
"717","M1","P30","2006/5",2,2
"718","M1","P30","2006/6",2,3
"719","M1","P30","2006/7",14,15
"720","M1","P30","2006/8",10,11
"721","M1","P30","2006/9",51,55
"722","M1","P30","2007/1",113,129
"723","M1","P30","2007/10",101,112
"724","M1","P30","2007/11",69,80
"725","M1","P30","2007/12",54,59
"726","M1","P30","2007/2",120,140
"727","M1","P30","2007/3",99,108
"728","M1","P30","2007/4",87,97
"729","M1","P30","2007/5",94,101
"730","M1","P30","2007/6",99,109
"731","M1","P30","2007/7",91,101
"732","M1","P30","2007/8",91,104
"733","M1","P30","2007/9",143,154
"734","M1","P30","2008/1",55,60
"735","M1","P30","2008/10",24,26
"736","M1","P30","2008/11",10,10
"737","M1","P30","2008/12",14,17
"738","M1","P30","2008/2",71,82
"739","M1","P30","2008/3",68,75
"740","M1","P30","2008/4",51,57
"741","M1","P30","2008/5",38,39
"742","M1","P30","2008/6",59,64
"743","M1","P30","2008/7",52,57
"744","M1","P30","2008/8",30,33
"745","M1","P30","2008/9",30,30
"746","M1","P30","2009/1",4,4
"747","M1","P30","2009/10",2,2
"748","M1","P30","2009/2",4,4
"749","M1","P30","2009/3",5,5
"750","M1","P30","2009/9",1,1
"751","M1","P31","2006/10",2,2
"752","M1","P31","2006/11",2,2
"753","M1","P31","2006/12",8,8
"754","M1","P31","2006/6",1,1
"755","M1","P31","2006/7",2,2
"756","M1","P31","2006/8",5,5
"757","M1","P31","2006/9",2,2
"758","M1","P31","2007/1",8,8
"759","M1","P31","2007/10",8,8
"760","M1","P31","2007/11",6,6
"761","M1","P31","2007/12",5,5
"762","M1","P31","2007/2",6,7
"763","M1","P31","2007/3",8,8
"764","M1","P31","2007/4",8,8
"765","M1","P31","2007/5",8,8
"766","M1","P31","2007/6",9,9
"767","M1","P31","2007/7",11,11
"768","M1","P31","2007/8",7,7
"769","M1","P31","2007/9",5,5
"770","M1","P31","2008/1",9,9
"771","M1","P31","2008/10",2,2
"772","M1","P31","2008/12",1,1
"773","M1","P31","2008/2",10,10
"774","M1","P31","2008/3",6,6
