"","module_category","component_category","year.month","TotalCount","SaleCount"
"152","M0","P11","2006/11",57,86662
"153","M0","P11","2006/12",57,57560
"154","M0","P11","2006/2",57,437
"155","M0","P11","2006/3",57,52299
"156","M0","P11","2006/4",57,68984
"157","M0","P11","2006/5",57,61039
"158","M0","P11","2006/6",57,54336
"159","M0","P11","2006/7",57,78918
"160","M0","P11","2006/8",57,135601
"161","M0","P11","2006/9",57,175983
"162","M0","P11","2007/1",57,6470
"163","M0","P11","2007/2",57,10798
"164","M0","P11","2007/3",57,12926
"165","M0","P11","2007/4",57,5637
"166","M0","P12","2006/10",57,72052
"167","M0","P12","2006/11",57,86662
"168","M0","P12","2006/12",57,57560
"169","M0","P12","2006/2",57,437
"170","M0","P12","2006/3",57,52299
"171","M0","P12","2006/4",57,68984
"172","M0","P12","2006/5",57,61039
"173","M0","P12","2006/6",57,54336
"174","M0","P12","2006/7",57,78918
"175","M0","P12","2006/8",57,135601
"176","M0","P12","2006/9",57,175983
"177","M0","P12","2007/1",57,6470
"178","M0","P12","2007/2",57,10798
"179","M0","P12","2007/3",57,12926
"180","M0","P12","2007/4",57,5637
"181","M0","P13","2006/10",57,72052
"182","M0","P13","2006/11",57,86662
"183","M0","P13","2006/12",57,57560
"184","M0","P13","2006/2",57,437
"185","M0","P13","2006/3",57,52299
"186","M0","P13","2006/4",57,68984
"187","M0","P13","2006/5",57,61039
"188","M0","P13","2006/6",57,54336
"189","M0","P13","2006/7",57,78918
"190","M0","P13","2006/8",57,135601
"191","M0","P13","2006/9",57,175983
"192","M0","P13","2007/1",57,6470
"193","M0","P13","2007/2",57,10798
"194","M0","P13","2007/3",57,12926
"195","M0","P13","2007/4",57,5637
"196","M0","P14","2006/10",57,72052
"197","M0","P14","2006/11",57,86662
"198","M0","P14","2006/12",57,57560
"199","M0","P14","2006/2",57,437
"200","M0","P14","2006/3",57,52299
"201","M0","P14","2006/4",57,68984
"202","M0","P14","2006/5",57,61039
"203","M0","P14","2006/6",57,54336
"204","M0","P14","2006/7",57,78918
"205","M0","P14","2006/8",57,135601
"206","M0","P14","2006/9",57,175983
"207","M0","P14","2007/1",57,6470
"208","M0","P14","2007/2",57,10798
"209","M0","P14","2007/3",57,12926
"210","M0","P14","2007/4",57,5637
"211","M0","P15","2006/10",57,72052
"212","M0","P15","2006/11",57,86662
"213","M0","P15","2006/12",57,57560
"214","M0","P15","2006/2",57,437
"215","M0","P15","2006/3",57,52299
"216","M0","P15","2006/4",57,68984
"217","M0","P15","2006/5",57,61039
"218","M0","P15","2006/6",57,54336
"219","M0","P15","2006/7",57,78918
"220","M0","P15","2006/8",57,135601
"221","M0","P15","2006/9",57,175983
"222","M0","P15","2007/1",57,6470
"223","M0","P15","2007/2",57,10798
"224","M0","P15","2007/3",57,12926
"225","M0","P15","2007/4",57,5637
"226","M0","P16","2006/10",57,72052
"227","M0","P16","2006/11",57,86662
"228","M0","P16","2006/12",57,57560
"229","M0","P16","2006/2",57,437
"230","M0","P16","2006/3",57,52299
"231","M0","P16","2006/4",57,68984
"232","M0","P16","2006/5",57,61039
"233","M0","P16","2006/6",57,54336
"234","M0","P16","2006/7",57,78918
"235","M0","P16","2006/8",57,135601
"236","M0","P16","2006/9",57,175983
"237","M0","P16","2007/1",57,6470
"238","M0","P16","2007/2",57,10798
"239","M0","P16","2007/3",57,12926
"240","M0","P16","2007/4",57,5637
"241","M0","P17","2006/10",57,72052
"242","M0","P17","2006/11",57,86662
"243","M0","P17","2006/12",57,57560
"244","M0","P17","2006/2",57,437
"245","M0","P17","2006/3",57,52299
"246","M0","P17","2006/4",57,68984
"247","M0","P17","2006/5",57,61039
"248","M0","P17","2006/6",57,54336
"249","M0","P17","2006/7",57,78918
"250","M0","P17","2006/8",57,135601
"251","M0","P17","2006/9",57,175983
"252","M0","P17","2007/1",57,6470
"253","M0","P17","2007/2",57,10798
"254","M0","P17","2007/3",57,12926
"255","M0","P17","2007/4",57,5637
"256","M0","P18","2006/10",57,72052
"257","M0","P18","2006/11",57,86662
"258","M0","P18","2006/12",57,57560
"259","M0","P18","2006/2",57,437
"260","M0","P18","2006/3",57,52299
"261","M0","P18","2006/4",57,68984
"262","M0","P18","2006/5",57,61039
"263","M0","P18","2006/6",57,54336
"264","M0","P18","2006/7",57,78918
"265","M0","P18","2006/8",57,135601
"266","M0","P18","2006/9",57,175983
"267","M0","P18","2007/1",57,6470
"268","M0","P18","2007/2",57,10798
"269","M0","P18","2007/3",57,12926
"270","M0","P18","2007/4",57,5637
"271","M0","P19","2006/10",57,72052
"272","M0","P19","2006/11",57,86662
"273","M0","P19","2006/12",57,57560
"274","M0","P19","2006/2",57,437
"275","M0","P19","2006/3",57,52299
"276","M0","P19","2006/4",57,68984
"277","M0","P19","2006/5",57,61039
"278","M0","P19","2006/6",57,54336
"279","M0","P19","2006/7",57,78918
"280","M0","P19","2006/8",57,135601
"281","M0","P19","2006/9",57,175983
"282","M0","P19","2007/1",57,6470
"283","M0","P19","2007/2",57,10798
"284","M0","P19","2007/3",57,12926
"285","M0","P19","2007/4",57,5637
"286","M0","P20","2006/10",57,72052
"287","M0","P20","2006/11",57,86662
"288","M0","P20","2006/12",57,57560
"289","M0","P20","2006/2",57,437
"290","M0","P20","2006/3",57,52299
"291","M0","P20","2006/4",57,68984
"292","M0","P20","2006/5",57,61039
"293","M0","P20","2006/6",57,54336
"294","M0","P20","2006/7",57,78918
"295","M0","P20","2006/8",57,135601
"296","M0","P20","2006/9",57,175983
"297","M0","P20","2007/1",57,6470
"298","M0","P20","2007/2",57,10798
"299","M0","P20","2007/3",57,12926
"300","M0","P20","2007/4",57,5637
"301","M0","P21","2006/10",57,72052
"302","M0","P21","2006/11",57,86662
"303","M0","P21","2006/12",57,57560
"304","M0","P21","2006/2",57,437
"305","M0","P21","2006/3",57,52299
"306","M0","P21","2006/4",57,68984
"307","M0","P21","2006/5",57,61039
"308","M0","P21","2006/6",57,54336
"309","M0","P21","2006/7",57,78918
"310","M0","P21","2006/8",57,135601
"311","M0","P21","2006/9",57,175983
"312","M0","P21","2007/1",57,6470
"313","M0","P21","2007/2",57,10798
"314","M0","P21","2007/3",57,12926
"315","M0","P21","2007/4",57,5637
"316","M0","P22","2006/10",57,72052
"317","M0","P22","2006/11",57,86662
"318","M0","P22","2006/12",57,57560
"319","M0","P22","2006/2",57,437
"320","M0","P22","2006/3",57,52299
"321","M0","P22","2006/4",57,68984
"322","M0","P22","2006/5",57,61039
"323","M0","P22","2006/6",57,54336
"324","M0","P22","2006/7",57,78918
"325","M0","P22","2006/8",57,135601
"326","M0","P22","2006/9",57,175983
"327","M0","P22","2007/1",57,6470
"328","M0","P22","2007/2",57,10798
"329","M0","P22","2007/3",57,12926
"330","M0","P22","2007/4",57,5637
"331","M0","P23","2006/10",57,72052
"332","M0","P23","2006/11",57,86662
"333","M0","P23","2006/12",57,57560
"334","M0","P23","2006/2",57,437
"335","M0","P23","2006/3",57,52299
"336","M0","P23","2006/4",57,68984
"337","M0","P23","2006/5",57,61039
"338","M0","P23","2006/6",57,54336
"339","M0","P23","2006/7",57,78918
"340","M0","P23","2006/8",57,135601
"341","M0","P23","2006/9",57,175983
"342","M0","P23","2007/1",57,6470
"343","M0","P23","2007/2",57,10798
"344","M0","P23","2007/3",57,12926
"345","M0","P23","2007/4",57,5637
"346","M0","P24","2006/10",57,72052
"347","M0","P24","2006/11",57,86662
"348","M0","P24","2006/12",57,57560
"349","M0","P24","2006/2",57,437
"350","M0","P24","2006/3",57,52299
"351","M0","P24","2006/4",57,68984
"352","M0","P24","2006/5",57,61039
"353","M0","P24","2006/6",57,54336
"354","M0","P24","2006/7",57,78918
"355","M0","P24","2006/8",57,135601
"356","M0","P24","2006/9",57,175983
"357","M0","P24","2007/1",57,6470
"358","M0","P24","2007/2",57,10798
"359","M0","P24","2007/3",57,12926
"360","M0","P24","2007/4",57,5637
"361","M0","P25","2006/10",57,72052
"362","M0","P25","2006/11",57,86662
"363","M0","P25","2006/12",57,57560
"364","M0","P25","2006/2",57,437
"365","M0","P25","2006/3",57,52299
"366","M0","P25","2006/4",57,68984
"367","M0","P25","2006/5",57,61039
"368","M0","P25","2006/6",57,54336
"369","M0","P25","2006/7",57,78918
"370","M0","P25","2006/8",57,135601
"371","M0","P25","2006/9",57,175983
"372","M0","P25","2007/1",57,6470
"373","M0","P25","2007/2",57,10798
"374","M0","P25","2007/3",57,12926
"375","M0","P25","2007/4",57,5637
"376","M0","P26","2006/10",57,72052
"377","M0","P26","2006/11",57,86662
"378","M0","P26","2006/12",57,57560
"379","M0","P26","2006/2",57,437
"380","M0","P26","2006/3",57,52299
"381","M0","P26","2006/4",57,68984
"382","M0","P26","2006/5",57,61039
"383","M0","P26","2006/6",57,54336
"384","M0","P26","2006/7",57,78918
"385","M0","P26","2006/8",57,135601
"386","M0","P26","2006/9",57,175983
"387","M0","P26","2007/1",57,6470
"388","M0","P26","2007/2",57,10798
"389","M0","P26","2007/3",57,12926
"390","M0","P26","2007/4",57,5637
"391","M0","P27","2006/10",57,72052
"392","M0","P27","2006/11",57,86662
"393","M0","P27","2006/12",57,57560
"394","M0","P27","2006/2",57,437
"395","M0","P27","2006/3",57,52299
"396","M0","P27","2006/4",57,68984
"397","M0","P27","2006/5",57,61039
"398","M0","P27","2006/6",57,54336
"399","M0","P27","2006/7",57,78918
"400","M0","P27","2006/8",57,135601
"401","M0","P27","2006/9",57,175983
"402","M0","P27","2007/1",57,6470
"403","M0","P27","2007/2",57,10798
"404","M0","P27","2007/3",57,12926
"405","M0","P27","2007/4",57,5637
"406","M0","P28","2006/10",57,72052
"407","M0","P28","2006/11",57,86662
"408","M0","P28","2006/12",57,57560
"409","M0","P28","2006/2",57,437
"410","M0","P28","2006/3",57,52299
"411","M0","P28","2006/4",57,68984
"412","M0","P28","2006/5",57,61039
"413","M0","P28","2006/6",57,54336
"414","M0","P28","2006/7",57,78918
"415","M0","P28","2006/8",57,135601
"416","M0","P28","2006/9",57,175983
"417","M0","P28","2007/1",57,6470
"418","M0","P28","2007/2",57,10798
"419","M0","P28","2007/3",57,12926
"420","M0","P28","2007/4",57,5637
"421","M0","P29","2006/10",57,72052
"422","M0","P29","2006/11",57,86662
"423","M0","P29","2006/12",57,57560
"424","M0","P29","2006/2",57,437
"425","M0","P29","2006/3",57,52299
"426","M0","P29","2006/4",57,68984
"427","M0","P29","2006/5",57,61039
"428","M0","P29","2006/6",57,54336
"429","M0","P29","2006/7",57,78918
"430","M0","P29","2006/8",57,135601
"431","M0","P29","2006/9",57,175983
"432","M0","P29","2007/1",57,6470
"433","M0","P29","2007/2",57,10798
"434","M0","P29","2007/3",57,12926
"435","M0","P29","2007/4",57,5637
"436","M0","P30","2006/10",57,72052
"437","M0","P30","2006/11",57,86662
"438","M0","P30","2006/12",57,57560
"439","M0","P30","2006/2",57,437
"440","M0","P30","2006/3",57,52299
"441","M0","P30","2006/4",57,68984
"442","M0","P30","2006/5",57,61039
"443","M0","P30","2006/6",57,54336
"444","M0","P30","2006/7",57,78918
"445","M0","P30","2006/8",57,135601
"446","M0","P30","2006/9",57,175983
"447","M0","P30","2007/1",57,6470
"448","M0","P30","2007/2",57,10798
"449","M0","P30","2007/3",57,12926
"450","M0","P30","2007/4",57,5637
"451","M0","P31","2006/10",57,72052
"452","M0","P31","2006/11",57,86662
"453","M0","P31","2006/12",57,57560
"454","M0","P31","2006/2",57,437
"455","M0","P31","2006/3",57,52299
"456","M0","P31","2006/4",57,68984
"457","M0","P31","2006/5",57,61039
"458","M0","P31","2006/6",57,54336
"459","M0","P31","2006/7",57,78918
"460","M0","P31","2006/8",57,135601
"461","M0","P31","2006/9",57,175983
"462","M0","P31","2007/1",57,6470
"463","M0","P31","2007/2",57,10798
"464","M0","P31","2007/3",57,12926
"465","M0","P31","2007/4",57,5637
"466","M1","P01","2006/10",45,52448
"467","M1","P01","2006/11",45,55468
"468","M1","P01","2006/12",45,20586
"469","M1","P01","2006/2",45,2856
"470","M1","P01","2006/3",45,28672
"471","M1","P01","2006/4",45,39965
"472","M1","P01","2006/5",45,39041
"473","M1","P01","2006/6",45,28776
"474","M1","P01","2006/7",45,52937
"475","M1","P01","2006/8",45,66212
"476","M1","P01","2006/9",45,60307
"477","M1","P01","2007/1",45,4975
"478","M1","P01","2007/2",45,3739
"479","M1","P02","2006/10",45,52448
"480","M1","P02","2006/11",45,55468
"481","M1","P02","2006/12",45,20586
"482","M1","P02","2006/2",45,2856
"483","M1","P02","2006/3",45,28672
"484","M1","P02","2006/4",45,39965
"485","M1","P02","2006/5",45,39041
"486","M1","P02","2006/6",45,28776
"487","M1","P02","2006/7",45,52937
"488","M1","P02","2006/8",45,66212
"489","M1","P02","2006/9",45,60307
"490","M1","P02","2007/1",45,4975
"491","M1","P02","2007/2",45,3739
"492","M1","P03","2006/10",45,52448
"493","M1","P03","2006/11",45,55468
"494","M1","P03","2006/12",45,20586
"495","M1","P03","2006/2",45,2856
"496","M1","P03","2006/3",45,28672
"497","M1","P03","2006/4",45,39965
"498","M1","P03","2006/5",45,39041
"499","M1","P03","2006/6",45,28776
"500","M1","P03","2006/7",45,52937
"501","M1","P03","2006/8",45,66212
"502","M1","P03","2006/9",45,60307
"503","M1","P03","2007/1",45,4975
"504","M1","P03","2007/2",45,3739
"505","M1","P04","2006/10",45,52448
"506","M1","P04","2006/11",45,55468
"507","M1","P04","2006/12",45,20586
"508","M1","P04","2006/2",45,2856
"509","M1","P04","2006/3",45,28672
"510","M1","P04","2006/4",45,39965
"511","M1","P04","2006/5",45,39041
"512","M1","P04","2006/6",45,28776
"513","M1","P04","2006/7",45,52937
"514","M1","P04","2006/8",45,66212
"515","M1","P04","2006/9",45,60307
"516","M1","P04","2007/1",45,4975
"517","M1","P04","2007/2",45,3739
"518","M1","P05","2006/10",45,52448
"519","M1","P05","2006/11",45,55468
"520","M1","P05","2006/12",45,20586
"521","M1","P05","2006/2",45,2856
"522","M1","P05","2006/3",45,28672
"523","M1","P05","2006/4",45,39965
"524","M1","P05","2006/5",45,39041
"525","M1","P05","2006/6",45,28776
"526","M1","P05","2006/7",45,52937
"527","M1","P05","2006/8",45,66212
"528","M1","P05","2006/9",45,60307
"529","M1","P05","2007/1",45,4975
"530","M1","P05","2007/2",45,3739
"531","M1","P06","2006/10",45,52448
"532","M1","P06","2006/11",45,55468
"533","M1","P06","2006/12",45,20586
"534","M1","P06","2006/2",45,2856
"535","M1","P06","2006/3",45,28672
"536","M1","P06","2006/4",45,39965
"537","M1","P06","2006/5",45,39041
"538","M1","P06","2006/6",45,28776
"539","M1","P06","2006/7",45,52937
"540","M1","P06","2006/8",45,66212
"541","M1","P06","2006/9",45,60307
"542","M1","P06","2007/1",45,4975
"543","M1","P06","2007/2",45,3739
"544","M1","P07","2006/10",45,52448
"545","M1","P07","2006/11",45,55468
"546","M1","P07","2006/12",45,20586
"547","M1","P07","2006/2",45,2856
"548","M1","P07","2006/3",45,28672
"549","M1","P07","2006/4",45,39965
"550","M1","P07","2006/5",45,39041
"551","M1","P07","2006/6",45,28776
"552","M1","P07","2006/7",45,52937
"553","M1","P07","2006/8",45,66212
"554","M1","P07","2006/9",45,60307
"555","M1","P07","2007/1",45,4975
"556","M1","P07","2007/2",45,3739
"557","M1","P08","2006/10",45,52448
"558","M1","P08","2006/11",45,55468
"559","M1","P08","2006/12",45,20586
"560","M1","P08","2006/2",45,2856
"561","M1","P08","2006/3",45,28672
"562","M1","P08","2006/4",45,39965
"563","M1","P08","2006/5",45,39041
"564","M1","P08","2006/6",45,28776
"565","M1","P08","2006/7",45,52937
"566","M1","P08","2006/8",45,66212
"567","M1","P08","2006/9",45,60307
"568","M1","P08","2007/1",45,4975
"569","M1","P08","2007/2",45,3739
"570","M1","P09","2006/10",45,52448
"571","M1","P09","2006/11",45,55468
"572","M1","P09","2006/12",45,20586
"573","M1","P09","2006/2",45,2856
"574","M1","P09","2006/3",45,28672
"575","M1","P09","2006/4",45,39965
"576","M1","P09","2006/5",45,39041
"577","M1","P09","2006/6",45,28776
"578","M1","P09","2006/7",45,52937
"579","M1","P09","2006/8",45,66212
"580","M1","P09","2006/9",45,60307
"581","M1","P09","2007/1",45,4975
"582","M1","P09","2007/2",45,3739
"583","M1","P10","2006/10",45,52448
"584","M1","P10","2006/11",45,55468
"585","M1","P10","2006/12",45,20586
"586","M1","P10","2006/2",45,2856
"587","M1","P10","2006/3",45,28672
"588","M1","P10","2006/4",45,39965
"589","M1","P10","2006/5",45,39041
"590","M1","P10","2006/6",45,28776
"591","M1","P10","2006/7",45,52937
"592","M1","P10","2006/8",45,66212
"593","M1","P10","2006/9",45,60307
"594","M1","P10","2007/1",45,4975
"595","M1","P10","2007/2",45,3739
"596","M1","P11","2006/10",45,52448
"597","M1","P11","2006/11",45,55468
"598","M1","P11","2006/12",45,20586
"599","M1","P11","2006/2",45,2856
"600","M1","P11","2006/3",45,28672
"601","M1","P11","2006/4",45,39965
"602","M1","P11","2006/5",45,39041
"603","M1","P11","2006/6",45,28776
"604","M1","P11","2006/7",45,52937
"605","M1","P11","2006/8",45,66212
"606","M1","P11","2006/9",45,60307
"607","M1","P11","2007/1",45,4975
"608","M1","P11","2007/2",45,3739
"609","M1","P12","2006/10",45,52448
"610","M1","P12","2006/11",45,55468
"611","M1","P12","2006/12",45,20586
"612","M1","P12","2006/2",45,2856
"613","M1","P12","2006/3",45,28672
"614","M1","P12","2006/4",45,39965
"615","M1","P12","2006/5",45,39041
"616","M1","P12","2006/6",45,28776
"617","M1","P12","2006/7",45,52937
"618","M1","P12","2006/8",45,66212
"619","M1","P12","2006/9",45,60307
"620","M1","P12","2007/1",45,4975
"621","M1","P12","2007/2",45,3739
"622","M1","P13","2006/10",45,52448
"623","M1","P13","2006/11",45,55468
"624","M1","P13","2006/12",45,20586
"625","M1","P13","2006/2",45,2856
"626","M1","P13","2006/3",45,28672
"627","M1","P13","2006/4",45,39965
"628","M1","P13","2006/5",45,39041
"629","M1","P13","2006/6",45,28776
"630","M1","P13","2006/7",45,52937
"631","M1","P13","2006/8",45,66212
"632","M1","P13","2006/9",45,60307
"633","M1","P13","2007/1",45,4975
"634","M1","P13","2007/2",45,3739
"635","M1","P14","2006/10",45,52448
"636","M1","P14","2006/11",45,55468
"637","M1","P14","2006/12",45,20586
"638","M1","P14","2006/2",45,2856
"639","M1","P14","2006/3",45,28672
"640","M1","P14","2006/4",45,39965
"641","M1","P14","2006/5",45,39041
"642","M1","P14","2006/6",45,28776
"643","M1","P14","2006/7",45,52937
"644","M1","P14","2006/8",45,66212
"645","M1","P14","2006/9",45,60307
"646","M1","P14","2007/1",45,4975
"647","M1","P14","2007/2",45,3739
"648","M1","P15","2006/10",45,52448
"649","M1","P15","2006/11",45,55468
"650","M1","P15","2006/12",45,20586
"651","M1","P15","2006/2",45,2856
"652","M1","P15","2006/3",45,28672
"653","M1","P15","2006/4",45,39965
"654","M1","P15","2006/5",45,39041
"655","M1","P15","2006/6",45,28776
"656","M1","P15","2006/7",45,52937
"657","M1","P15","2006/8",45,66212
"658","M1","P15","2006/9",45,60307
"659","M1","P15","2007/1",45,4975
"660","M1","P15","2007/2",45,3739
"661","M1","P16","2006/10",45,52448
"662","M1","P16","2006/11",45,55468
"663","M1","P16","2006/12",45,20586
"664","M1","P16","2006/2",45,2856
"665","M1","P16","2006/3",45,28672
"666","M1","P16","2006/4",45,39965
"667","M1","P16","2006/5",45,39041
"668","M1","P16","2006/6",45,28776
"669","M1","P16","2006/7",45,52937
"670","M1","P16","2006/8",45,66212
"671","M1","P16","2006/9",45,60307
"672","M1","P16","2007/1",45,4975
"673","M1","P16","2007/2",45,3739
"674","M1","P17","2006/10",45,52448
"675","M1","P17","2006/11",45,55468
"676","M1","P17","2006/12",45,20586
"677","M1","P17","2006/2",45,2856
"678","M1","P17","2006/3",45,28672
"679","M1","P17","2006/4",45,39965
"680","M1","P17","2006/5",45,39041
"681","M1","P17","2006/6",45,28776
"682","M1","P17","2006/7",45,52937
"683","M1","P17","2006/8",45,66212
"684","M1","P17","2006/9",45,60307
"685","M1","P17","2007/1",45,4975
"686","M1","P17","2007/2",45,3739
"687","M1","P18","2006/10",45,52448
"688","M1","P18","2006/11",45,55468
"689","M1","P18","2006/12",45,20586
"690","M1","P18","2006/2",45,2856
"691","M1","P18","2006/3",45,28672
"692","M1","P18","2006/4",45,39965
"693","M1","P18","2006/5",45,39041
"694","M1","P18","2006/6",45,28776
"695","M1","P18","2006/7",45,52937
"696","M1","P18","2006/8",45,66212
"697","M1","P18","2006/9",45,60307
"698","M1","P18","2007/1",45,4975
"699","M1","P18","2007/2",45,3739
"700","M1","P19","2006/10",45,52448
"701","M1","P19","2006/11",45,55468
"702","M1","P19","2006/12",45,20586
"703","M1","P19","2006/2",45,2856
"704","M1","P19","2006/3",45,28672
"705","M1","P19","2006/4",45,39965
"706","M1","P19","2006/5",45,39041
"707","M1","P19","2006/6",45,28776
"708","M1","P19","2006/7",45,52937
"709","M1","P19","2006/8",45,66212
"710","M1","P19","2006/9",45,60307
"711","M1","P19","2007/1",45,4975
"712","M1","P19","2007/2",45,3739
"713","M1","P20","2006/10",45,52448
"714","M1","P20","2006/11",45,55468
"715","M1","P20","2006/12",45,20586
"716","M1","P20","2006/2",45,2856
"717","M1","P20","2006/3",45,28672
"718","M1","P20","2006/4",45,39965
"719","M1","P20","2006/5",45,39041
"720","M1","P20","2006/6",45,28776
"721","M1","P20","2006/7",45,52937
"722","M1","P20","2006/8",45,66212
"723","M1","P20","2006/9",45,60307
"724","M1","P20","2007/1",45,4975
"725","M1","P20","2007/2",45,3739
"726","M1","P21","2006/10",45,52448
"727","M1","P21","2006/11",45,55468
"728","M1","P21","2006/12",45,20586
"729","M1","P21","2006/2",45,2856
"730","M1","P21","2006/3",45,28672
"731","M1","P21","2006/4",45,39965
"732","M1","P21","2006/5",45,39041
"733","M1","P21","2006/6",45,28776
"734","M1","P21","2006/7",45,52937
"735","M1","P21","2006/8",45,66212
